[tuimon] frame 60ms | push:12 wait:0 snap:45 encode:2 | 84KB
[tuimon] frame 80ms | push:14 wait:1 snap:48 encode:17 | 85KB
[tuimon] frame 76ms | push:11 wait:0 snap:44 encode:20 | 85KB
[tuimon] frame 75ms | push:17 wait:1 snap:55 encode:1 | 84KB
[tuimon] frame 88ms | push:11 wait:0 snap:61 encode:16 | 85KB
[tuimon] frame 54ms | push:13 wait:0 snap:39 encode:2 | 84KB
[tuimon] frame 92ms | push:14 wait:2 snap:53 encode:23 | 84KB
[tuimon] frame 69ms | push:13 wait:2 snap:52 encode:2 | 85KB
[tuimon] frame 72ms | push:11 wait:1 snap:36 encode:23 | 85KB
[tuimon] frame 69ms | push:13 wait:2 snap:34 encode:21 | 86KB
[tuimon] frame 76ms | push:12 wait:1 snap:45 encode:18 | 86KB
[tuimon] frame 85ms | push:14 wait:1 snap:55 encode:15 | 86KB
[tuimon] frame 90ms | push:19 wait:1 snap:68 encode:1 | 84KB
[tuimon] frame 54ms | push:12 wait:2 snap:39 encode:2 | 86KB
[tuimon] frame 72ms | push:13 wait:1 snap:57 encode:1 | 85KB
[tuimon] frame 90ms | push:15 wait:2 snap:58 encode:16 | 87KB
[tuimon] frame 66ms | push:12 wait:1 snap:37 encode:16 | 84KB
[tuimon] frame 83ms | push:17 wait:1 snap:45 encode:20 | 86KB
[tuimon] frame 83ms | push:12 wait:2 snap:50 encode:20 | 85KB
[tuimon] frame 53ms | push:13 wait:2 snap:36 encode:3 | 85KB
[tuimon] frame 67ms | push:11 wait:0 snap:34 encode:21 | 85KB
[tuimon] frame 60ms | push:12 wait:1 snap:45 encode:2 | 86KB
[tuimon] frame 72ms | push:11 wait:2 snap:43 encode:16 | 84KB
[tuimon] frame 77ms | push:26 wait:1 snap:49 encode:1 | 85KB
[tuimon] frame 75ms | push:12 wait:1 snap:41 encode:21 | 84KB
[tuimon] frame 71ms | push:12 wait:2 snap:41 encode:16 | 85KB
[tuimon] frame 53ms | push:12 wait:1 snap:39 encode:2 | 83KB
[tuimon] frame 63ms | push:13 wait:1 snap:34 encode:15 | 85KB
[tuimon] frame 79ms | push:14 wait:0 snap:41 encode:24 | 85KB
[tuimon] frame 50ms | push:12 wait:2 snap:35 encode:2 | 84KB
[tuimon] frame 59ms | push:12 wait:0 snap:45 encode:2 | 83KB
[tuimon] frame 53ms | push:12 wait:1 snap:38 encode:2 | 84KB
[tuimon] frame 52ms | push:11 wait:0 snap:38 encode:2 | 83KB
[tuimon] frame 84ms | push:14 wait:1 snap:68 encode:2 | 84KB
[tuimon] frame 65ms | push:17 wait:2 snap:45 encode:1 | 84KB
[tuimon] frame 131ms | push:19 wait:1 snap:44 encode:67 | 83KB
[tuimon] frame 79ms | push:15 wait:1 snap:42 encode:21 | 84KB
[tuimon] frame 65ms | push:15 wait:0 snap:48 encode:2 | 83KB
[tuimon] frame 76ms | push:30 wait:1 snap:43 encode:1 | 84KB
[tuimon] frame 57ms | push:12 wait:1 snap:42 encode:2 | 84KB
[tuimon] frame 80ms | push:13 wait:1 snap:44 encode:22 | 84KB
[tuimon] frame 87ms | push:24 wait:1 snap:54 encode:8 | 83KB
[tuimon] frame 61ms | push:12 wait:1 snap:46 encode:1 | 84KB
[tuimon] frame 57ms | push:21 wait:0 snap:34 encode:2 | 83KB
[tuimon] frame 77ms | push:12 wait:1 snap:48 encode:15 | 84KB
[tuimon] frame 73ms | push:21 wait:2 snap:36 encode:14 | 83KB
[tuimon] frame 135ms | push:50 wait:1 snap:82 encode:2 | 84KB
[tuimon] frame 70ms | push:12 wait:1 snap:37 encode:19 | 83KB
[tuimon] frame 75ms | push:15 wait:1 snap:38 encode:21 | 84KB
[tuimon] frame 69ms | push:16 wait:1 snap:51 encode:2 | 83KB
[tuimon] frame 68ms | push:15 wait:2 snap:35 encode:17 | 84KB
[tuimon] frame 48ms | push:13 wait:1 snap:32 encode:2 | 83KB
[tuimon] frame 47ms | push:13 wait:0 snap:33 encode:1 | 83KB
[tuimon] frame 61ms | push:12 wait:0 snap:33 encode:15 | 83KB
[tuimon] frame 60ms | push:12 wait:2 snap:32 encode:15 | 84KB
[tuimon] frame 83ms | push:24 wait:1 snap:41 encode:17 | 85KB
[tuimon] frame 75ms | push:12 wait:1 snap:47 encode:16 | 84KB
[tuimon] frame 72ms | push:13 wait:1 snap:41 encode:17 | 86KB
[tuimon] frame 60ms | push:12 wait:2 snap:43 encode:3 | 86KB
[tuimon] frame 58ms | push:13 wait:0 snap:43 encode:2 | 86KB
[tuimon] frame 110ms | push:14 wait:2 snap:73 encode:21 | 85KB
[tuimon] frame 57ms | push:12 wait:2 snap:41 encode:2 | 86KB
[tuimon] frame 72ms | push:12 wait:2 snap:42 encode:16 | 86KB
[tuimon] frame 70ms | push:12 wait:2 snap:36 encode:21 | 85KB
[tuimon] frame 90ms | push:14 wait:1 snap:59 encode:16 | 85KB
[tuimon] frame 71ms | push:11 wait:0 snap:38 encode:21 | 84KB
[tuimon] frame 59ms | push:11 wait:1 snap:32 encode:15 | 86KB
[tuimon] frame 54ms | push:12 wait:2 snap:39 encode:2 | 85KB
[tuimon] frame 80ms | push:14 wait:1 snap:40 encode:24 | 84KB
[tuimon] frame 51ms | push:12 wait:1 snap:36 encode:2 | 85KB
[tuimon] frame 49ms | push:12 wait:2 snap:35 encode:1 | 83KB
[tuimon] frame 57ms | push:15 wait:0 snap:41 encode:1 | 83KB
[tuimon] frame 66ms | push:13 wait:2 snap:36 encode:15 | 84KB
[tuimon] frame 66ms | push:17 wait:1 snap:44 encode:5 | 85KB
[tuimon] frame 53ms | push:14 wait:1 snap:37 encode:1 | 83KB
[tuimon] frame 48ms | push:13 wait:1 snap:33 encode:1 | 84KB
[tuimon] frame 64ms | push:19 wait:3 snap:40 encode:2 | 83KB
[tuimon] frame 95ms | push:12 wait:0 snap:67 encode:16 | 86KB
[tuimon] frame 69ms | push:14 wait:2 snap:37 encode:16 | 85KB
[tuimon] frame 67ms | push:14 wait:1 snap:36 encode:16 | 86KB
[tuimon] frame 59ms | push:11 wait:0 snap:33 encode:15 | 84KB
[tuimon] frame 66ms | push:12 wait:2 snap:32 encode:21 | 85KB
[tuimon] frame 74ms | push:13 wait:1 snap:38 encode:22 | 84KB
